"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Livestock"	"Zimbabwe"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2010	0.31
"Livestock"	"Afghanistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.08
"Livestock"	"Albania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Algeria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.04
"Livestock"	"American Samoa"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.02
"Livestock"	"Angola"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Antigua and Barbuda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.46
"Livestock"	"Argentina"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.38
"Livestock"	"Armenia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.36
"Livestock"	"Australia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.06
"Livestock"	"Austria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Azerbaijan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.41
"Livestock"	"Bahamas"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.05
"Livestock"	"Bahrain"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.2
"Livestock"	"Bangladesh"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.47
"Livestock"	"Barbados"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.28
"Livestock"	"Belarus"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.47
"Livestock"	"Belgium"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.19
"Livestock"	"Belize"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.35
"Livestock"	"Benin"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.48
"Livestock"	"Bermuda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.6
"Livestock"	"Bhutan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.67
"Livestock"	"Bolivia (Plurinational State of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.18
"Livestock"	"Bosnia and Herzegovina"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.22
"Livestock"	"Botswana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.1
"Livestock"	"Brazil"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.65
"Livestock"	"British Virgin Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.34
"Livestock"	"Brunei Darussalam"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.69
"Livestock"	"Bulgaria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.12
"Livestock"	"Burkina Faso"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.49
"Livestock"	"Burundi"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.16
"Livestock"	"Cambodia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.77
"Livestock"	"Cameroon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Canada"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.2
"Livestock"	"Cape Verde"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.3
"Livestock"	"Cayman Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.67
"Livestock"	"Central African Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.61
"Livestock"	"Chad"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.12
"Livestock"	"Chile"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.27
"Livestock"	"China"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.24
"Livestock"	"Colombia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.54
"Livestock"	"Comoros"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.35
"Livestock"	"Congo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Cook Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.03
"Livestock"	"Costa Rica"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.74
"Livestock"	"Côte d'Ivoire"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Croatia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.36
"Livestock"	"Cuba"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.63
"Livestock"	"Cyprus"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.38
"Livestock"	"Czech Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.37
"Livestock"	"Democratic People's Republic of Korea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.23
"Livestock"	"Democratic Republic of the Congo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.03
"Livestock"	"Denmark"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.71
"Livestock"	"Djibouti"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.19
"Livestock"	"Dominica"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Dominican Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.8
"Livestock"	"Ecuador"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.56
"Livestock"	"Egypt"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.1
"Livestock"	"El Salvador"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.7
"Livestock"	"Equatorial Guinea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Eritrea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.29
"Livestock"	"Estonia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.27
"Livestock"	"Ethiopia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.08
"Livestock"	"Falkland Islands (Malvinas)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0
"Livestock"	"Faroe Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.67
"Livestock"	"Fiji"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.78
"Livestock"	"Finland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.48
"Livestock"	"France"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.68
"Livestock"	"French Guiana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.4
"Livestock"	"French Polynesia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.26
"Livestock"	"Gabon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Gambia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.66
"Livestock"	"Georgia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.39
"Livestock"	"Germany"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.86
"Livestock"	"Ghana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.09
"Livestock"	"Greece"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Greenland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0
"Livestock"	"Grenada"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.37
"Livestock"	"Guadeloupe"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.33
"Livestock"	"Guam"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Guatemala"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.56
"Livestock"	"Guinea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.21
"Livestock"	"Guinea-Bissau"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.31
"Livestock"	"Guyana"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Haiti"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.85
"Livestock"	"Honduras"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.61
"Livestock"	"Hungary"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.15
"Livestock"	"Iceland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.04
"Livestock"	"India"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.57
"Livestock"	"Indonesia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.29
"Livestock"	"Iran (Islamic Republic of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.14
"Livestock"	"Iraq"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.18
"Livestock"	"Ireland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.6
"Livestock"	"Israel"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.7
"Livestock"	"Italy"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.47
"Livestock"	"Jamaica"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.84
"Livestock"	"Japan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.87
"Livestock"	"Jordan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.06
"Livestock"	"Kazakhstan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.02
"Livestock"	"Kenya"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.44
"Livestock"	"Kuwait"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.14
"Livestock"	"Kyrgyzstan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.09
"Livestock"	"Lao People's Democratic Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.19
"Livestock"	"Latvia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.24
"Livestock"	"Lebanon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.13
"Livestock"	"Lesotho"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.3
"Livestock"	"Liberia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Libya"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Liechtenstein"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.72
"Livestock"	"Lithuania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.26
"Livestock"	"Luxembourg"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.6
"Livestock"	"Madagascar"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.26
"Livestock"	"Malawi"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.16
"Livestock"	"Malaysia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.11
"Livestock"	"Mali"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.15
"Livestock"	"Malta"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.13
"Livestock"	"Martinique"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.86
"Livestock"	"Mauritania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.04
"Livestock"	"Mauritius"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.27
"Livestock"	"Mexico"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.29
"Livestock"	"Micronesia (Federated States of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.62
"Livestock"	"Mongolia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.03
"Livestock"	"Montserrat"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	3.23
"Livestock"	"Morocco"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.09
"Livestock"	"Mozambique"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.02
"Livestock"	"Myanmar"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.24
"Livestock"	"Namibia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.06
"Livestock"	"Nepal"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.5
"Livestock"	"Netherlands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	2.08
"Livestock"	"Netherlands Antilles"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.04
"Livestock"	"New Caledonia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.45
"Livestock"	"New Zealand"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.58
"Livestock"	"Nicaragua"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.64
"Livestock"	"Niger"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.15
"Livestock"	"Nigeria"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.21
"Livestock"	"Niue"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.02
"Livestock"	"Norfolk Island"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0
"Livestock"	"Norway"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.95
"Livestock"	"Occupied Palestinian Territory"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.06
"Livestock"	"Oman"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.28
"Livestock"	"Pakistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.66
"Livestock"	"Panama"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.6
"Livestock"	"Papua New Guinea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.09
"Livestock"	"Paraguay"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.48
"Livestock"	"Peru"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.23
"Livestock"	"Philippines"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.49
"Livestock"	"Poland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.33
"Livestock"	"Portugal"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.37
"Livestock"	"Puerto Rico"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.59
"Livestock"	"Qatar"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.22
"Livestock"	"Republic of Korea"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.08
"Livestock"	"Republic of Moldova"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.17
"Livestock"	"Réunion"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.55
"Livestock"	"Romania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.21
"Livestock"	"Russian Federation"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.13
"Livestock"	"Rwanda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.44
"Livestock"	"Saint Helena, Ascension and Tristan da Cunha"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.06
"Livestock"	"Saint Kitts and Nevis"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.46
"Livestock"	"Saint Lucia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.63
"Livestock"	"Saint Pierre and Miquelon"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Saint Vincent and the Grenadines"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.6
"Livestock"	"Samoa"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.58
"Livestock"	"Sao Tome and Principe"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.08
"Livestock"	"Saudi Arabia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0
"Livestock"	"Senegal"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.34
"Livestock"	"Serbia and Montenegro"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.26
"Livestock"	"Seychelles"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.38
"Livestock"	"Sierra Leone"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Singapore"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.17
"Livestock"	"Slovakia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.27
"Livestock"	"Slovenia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.91
"Livestock"	"Solomon Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.17
"Livestock"	"Somalia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.12
"Livestock"	"South Africa"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.14
"Livestock"	"Spain"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.21
"Livestock"	"Sri Lanka"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.62
"Livestock"	"Sudan (former)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.28
"Livestock"	"Suriname"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.25
"Livestock"	"Swaziland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.48
"Livestock"	"Sweden"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.53
"Livestock"	"Switzerland"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.04
"Livestock"	"Syrian Arab Republic"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.07
"Livestock"	"Tajikistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.23
"Livestock"	"Thailand"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.32
"Livestock"	"The former Yugoslav Republic of Macedonia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.22
"Livestock"	"Timor-Leste"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.65
"Livestock"	"Togo"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.08
"Livestock"	"Tonga"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.38
"Livestock"	"Trinidad and Tobago"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.53
"Livestock"	"Tunisia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.08
"Livestock"	"Turkey"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.28
"Livestock"	"Turkmenistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.04
"Livestock"	"Uganda"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.48
"Livestock"	"Ukraine"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.26
"Livestock"	"United Arab Emirates"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.17
"Livestock"	"United Kingdom"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.66
"Livestock"	"United Republic of Tanzania"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.49
"Livestock"	"United States of America"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.24
"Livestock"	"United States Virgin Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	1.14
"Livestock"	"Uruguay"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.69
"Livestock"	"Uzbekistan"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.19
"Livestock"	"Vanuatu"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.8
"Livestock"	"Venezuela (Bolivarian Republic of)"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.71
"Livestock"	"Viet Nam"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.8
"Livestock"	"Wallis and Futuna Islands"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.01
"Livestock"	"Western Sahara"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0
"Livestock"	"Yemen"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.05
"Livestock"	"Zambia"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.12
"Livestock"	"Zimbabwe"	"Cattle and Buffaloes"	"Livestock total per ha of agricultural area"	2000	0.41
